epoch   recon    pos1    pos2    pos3    pos4   s_attn   r_attn      div  content   isolat      hit   lr_attn    lr_cls  lr_rcon    scaff  time
  134  0.0036  0.0775  0.0627  0.0653  0.0556  -0.1349  -0.2349  0.1075  0.0140  0.0133  0.4161  0.000252  0.000252  0.000252  0.0075  300.9s
  135  0.0042  0.4376  0.3047  0.3024  0.2748  -0.1348  -0.2357  0.1082  0.0463  0.0686  0.4056  0.000100  0.001000  0.001000  0.0000  304.5s
  136  0.0042  0.3920  0.2858  0.3092  0.2616  -0.1347  -0.2358  0.1088  0.0572  0.0650  0.4067  0.000100  0.000999  0.000999  0.0000  299.3s
  137  0.0045  0.4669  0.2748  0.3421  0.3814  -0.1346  -0.2357  0.1090  0.0635  0.0725  0.4018  0.000100  0.000998  0.000998  0.0000  304.8s
  138  0.0038  0.1833  0.1683  0.1730  0.1195  -0.1348  -0.2359  0.1081  0.0383  0.0236  0.4135  0.000099  0.000995  0.000995  0.0000  298.0s
  139  0.0037  0.1486  0.1252  0.1414  0.1138  -0.1348  -0.2361  0.1096  0.0346  0.0359  0.4129  0.000099  0.000991  0.000991  0.0000  320.1s
  140  0.0040  0.3739  0.1867  0.2455  0.2640  -0.1346  -0.2359  0.1092  0.0608  0.1138  0.4062  0.000099  0.000986  0.000986  0.0000  324.8s
  141  0.0045  0.5198  0.2748  0.3106  0.4030  -0.1344  -0.2356  0.1082  0.0812  0.0669  0.4002  0.000098  0.000980  0.000980  0.0000  332.8s
  142  0.0043  0.2511  0.1877  0.1892  0.2314  -0.1346  -0.2361  0.1100  0.0500  0.0530  0.4069  0.000097  0.000973  0.000973  0.0000  322.5s
  143  0.0038  0.1740  0.1431  0.1635  0.1611  -0.1348  -0.2361  0.1093  0.0367  0.0174  0.4104  0.000096  0.000964  0.000964  0.0000  336.1s
  144  0.0037  0.1336  0.1095  0.0964  0.0664  -0.1348  -0.2362  0.1091  0.0324  0.0323  0.4143  0.000095  0.000955  0.000955  0.0000  324.2s
  145  0.0037  0.1111  0.0787  0.0866  0.0796  -0.1349  -0.2362  0.1087  0.0247  0.0272  0.4174  0.000094  0.000944  0.000944  0.0000  329.2s
  146  0.0036  0.0901  0.0428  0.0848  0.0495  -0.1349  -0.2363  0.1089  0.0211  0.0307  0.4180  0.000093  0.000933  0.000933  0.0000  322.4s
  147  0.0042  0.4156  0.1953  0.2742  0.3751  -0.1344  -0.2358  0.1088  0.0795  0.0546  0.4060  0.000092  0.000921  0.000921  0.0000  319.9s
  148  0.0042  0.2647  0.2309  0.2756  0.2384  -0.1345  -0.2360  0.1099  0.0748  0.0445  0.4056  0.000091  0.000907  0.000907  0.0000  325.5s
  149  0.0041  0.2998  0.1787  0.2060  0.2844  -0.1346  -0.2361  0.1097  0.0630  0.0444  0.4036  0.000089  0.000893  0.000893  0.0000  326.6s
  150  0.0037  0.0782  0.0556  0.0736  0.0552  -0.1349  -0.2363  0.1090  0.0267  0.0112  0.4165  0.000088  0.000878  0.000878  0.0000  328.9s
  151  0.0036  0.0531  0.0429  0.0510  0.0426  -0.1349  -0.2364  0.1090  0.0183  0.0194  0.4199  0.000086  0.000862  0.000862  0.0000  362.0s
  152  0.0037  0.0871  0.0659  0.1033  0.0970  -0.1348  -0.2364  0.1095  0.0343  0.0328  0.4166  0.000085  0.000845  0.000845  0.0000  323.6s
  153  0.0037  0.1374  0.0866  0.1183  0.0815  -0.1347  -0.2363  0.1092  0.0450  0.0498  0.4147  0.000083  0.000827  0.000827  0.0000  353.6s
  154  0.0038  0.1507  0.0849  0.1057  0.1310  -0.1347  -0.2362  0.1089  0.0481  0.0297  0.4156  0.000081  0.000809  0.000809  0.0000  368.5s
  155  0.0037  0.1005  0.0792  0.0855  0.0810  -0.1348  -0.2363  0.1094  0.0374  0.0264  0.4168  0.000079  0.000790  0.000790  0.0000  429.2s
  156  0.0037  0.1264  0.0698  0.0945  0.1065  -0.1346  -0.2363  0.1088  0.0547  0.0339  0.4107  0.000077  0.000770  0.000770  0.0000  439.1s
  157  0.0037  0.1472  0.1134  0.1300  0.1441  -0.1346  -0.2364  0.1102  0.0564  0.0330  0.4118  0.000075  0.000750  0.000750  0.0000  413.4s
  158  0.0038  0.1101  0.0917  0.1283  0.1051  -0.1346  -0.2363  0.1100  0.0532  0.0381  0.4119  0.000073  0.000729  0.000729  0.0000  406.8s
